iter	RMSE
0	6.988665486
1	6.710425325
2	6.450655556
3	6.240515902
4	6.052921464
5	5.887657929
6	5.744996752
7	5.624677752
8	5.502563054
9	5.416688051
10	5.324236372
11	5.242477616
12	5.181388724
13	5.123842143
14	5.077591696
15	5.024039998
16	4.981305686
17	4.937179835
18	4.907490302
19	4.877110313
20	4.770617193
21	4.730908231
22	4.694485953
23	4.624894369
24	4.56802335
25	4.532889254
26	4.470328956
27	4.428075178
28	4.403095012
29	4.368929369
30	4.343940454
31	4.34075768
32	4.308541166
33	4.284595125
34	4.270997091
35	4.24872198
36	4.240445321
37	4.219960816
38	4.213130643
39	4.194870592
40	4.180789257
41	4.171048129
42	4.163825604
43	4.14261704
44	4.13524398
45	4.125176721
46	4.121223097
47	4.100824505
48	4.089817528
49	4.082975246
50	4.081020032
51	4.08082181
52	4.080110503
53	4.063456089
54	4.050842321
55	4.042264309
56	4.031780651
57	4.02805184
58	4.01900482
59	4.017235631
60	4.010427751
61	4.002949791
62	4.001253253
63	3.999080737
64	3.996051212
65	3.990565596
66	3.990247195
67	3.981389048
68	3.97845001
69	3.977911507
70	3.973675881
71	3.971847786
72	3.968150488
73	3.958834264
74	3.950885395
75	3.950425935
76	3.941289622
77	3.935003709
78	3.931942664
79	3.930309698
80	3.927466384
81	3.922117016
82	3.916830287
83	3.912677544
84	3.911795087
85	3.908105252
86	3.906062439
87	3.900601332
88	3.896541915
89	3.894296165
90	3.892113821
91	3.887055998
92	3.879194231
93	3.869887977
94	3.865783825
95	3.861815353
96	3.860230565
97	3.853563314
98	3.848922496
99	3.837790083
100	3.833408741
101	3.832461594
102	3.830236479
103	3.826358097
104	3.82188114
105	3.81373919
106	3.811283171
107	3.810990193
108	3.796496985
109	3.784875452
110	3.784626205
111	3.784436648
112	3.782717629
113	3.77424032
114	3.770205847
115	3.765681296
116	3.759233007
117	3.757796231
118	3.749089077
119	3.742957238
120	3.741981017
121	3.741808063
122	3.741165818
123	3.734924739
124	3.730244676
125	3.72392507
126	3.713663564
127	3.701069229
128	3.69962269
129	3.695498667
130	3.688873969
131	3.686769521
132	3.683914122
133	3.67843844
134	3.674660813
135	3.674161245
136	3.671196676
137	3.667167136
138	3.661070278
139	3.660172072
140	3.659509683
141	3.650742163
142	3.647792331
143	3.639219025
144	3.6342912
145	3.62977065
146	3.626884165
147	3.619333602
148	3.614479495
149	3.610190203
150	3.605273147
151	3.604078419
152	3.602846443
153	3.59648772
154	3.595920636
155	3.594232375
156	3.591064784
157	3.590712165
158	3.590012866
159	3.582741234
160	3.581009945
161	3.578255043
162	3.572349824
163	3.563182701
164	3.560765074
165	3.557037948
166	3.554727025
167	3.552537326
168	3.54984475
169	3.54957537
170	3.549221349
171	3.545631283
172	3.543058348
173	3.538704052
174	3.536302851
175	3.535595938
176	3.531493563
177	3.530255506
178	3.528052387
179	3.519054059
180	3.51664961
181	3.512393977
182	3.512036744
183	3.511265751
184	3.508958198
185	3.507002613
186	3.503516903
187	3.496948963
188	3.492847964
189	3.492245755
190	3.491533026
191	3.486874221
192	3.485978678
193	3.477080804
194	3.472054141
195	3.466968201
196	3.461776459
197	3.461346689
198	3.455987046
199	3.454270049
200	3.453722209
201	3.451635087
202	3.449497145
203	3.44721668
204	3.443397693
205	3.438263296
206	3.437073084
207	3.434671453
208	3.430007175
209	3.426490991
210	3.419425425
211	3.41551215
212	3.411723755
213	3.410379332
214	3.40404175
215	3.399977101
216	3.399749336
217	3.396505574
218	3.39336174
219	3.388034464
220	3.386817531
221	3.386643179
222	3.38573143
223	3.378241237
224	3.377131457
225	3.376658959
226	3.37461409
227	3.371289099
228	3.368209693
229	3.357066735
230	3.350893467
231	3.348142168
232	3.342148549
233	3.340606299
234	3.334979952
235	3.33270135
236	3.330044591
237	3.326268105
238	3.325752438
239	3.320927323
240	3.317571416
241	3.317500424
242	3.314899162
243	3.311269089
244	3.310267125
245	3.310200419
246	3.29940867
247	3.295247028
248	3.293165665
249	3.29131702
250	3.285712652
251	3.283522889
252	3.279998041
253	3.277352509
254	3.275507278
255	3.274897505
256	3.269331185
257	3.267893548
258	3.267025639
259	3.257982022
260	3.250355429
261	3.247842608
262	3.241427961
263	3.239280498
264	3.236218103
265	3.236136928
266	3.233549105
267	3.230262565
268	3.227095119
269	3.22495952
270	3.220743984
271	3.216720256
272	3.21423973
273	3.214137548
274	3.211419888
275	3.20855347
276	3.20593999
277	3.203338508
278	3.195414458
279	3.18840325
280	3.187424748
281	3.182974705
282	3.177681882
283	3.173286134
284	3.170470749
285	3.17041024
286	3.16550999
287	3.161732087
288	3.156735211
289	3.15304798
290	3.150789924
291	3.147560655
292	3.145365891
293	3.144300259
294	3.143433013
295	3.141438582
296	3.140052662
297	3.138249033
298	3.138112562
299	3.133980719
300	3.13286201
301	3.126794781
302	3.124253679
303	3.123494437
304	3.122106403
305	3.115598413
306	3.113238489
307	3.111881558
308	3.111061688
309	3.107488255
310	3.107432785
311	3.10398009
312	3.100681155
313	3.09921558
314	3.09608844
315	3.089160988
316	3.084509308
317	3.084462076
318	3.083090607
319	3.078611061
320	3.07580245
321	3.071304048
322	3.069320187
323	3.068425597
324	3.064941001
325	3.061948975
326	3.058369536
327	3.055181512
328	3.053168796
329	3.04789883
330	3.044310299
331	3.042193524
332	3.040600567
333	3.037781342
334	3.035556645
335	3.03539017
336	3.030270552
337	3.028268852
338	3.027593478
339	3.025668449
340	3.025605783
341	3.019345056
342	3.015015023
343	3.013453636
344	3.011975848
345	3.008542796
346	3.004836825
347	3.001984084
348	2.99568336
349	2.991510128
350	2.986984297
351	2.986941484
352	2.984146958
353	2.974127183
354	2.971236114
355	2.968048617
356	2.963726827
357	2.963687356
358	2.962541813
359	2.957599826
360	2.954024878
361	2.952418682
362	2.951603216
363	2.94862412
364	2.943405447
365	2.941000434
366	2.9364045
367	2.931046554
368	2.927929145
369	2.927259294
370	2.925518721
371	2.922631172
372	2.91976611
373	2.916911532
374	2.916863659
375	2.915447973
376	2.914420075
377	2.91361902
378	2.905858533
379	2.905821864
380	2.902757928
381	2.898903575
